Split,Type,Model,Train_Size,Test_Size,MAE,RMSE,R2,Users_Evaluated,HitRate@10,Precision@10,Recall@10,NDCG@10,MAP@10,MRR@10
70:30,BaseModel,MatrixFactorization,1926,826,1.245369991297101,1.4460193759415418,-0.07865820354686837,235,0.16170212765957448,0.01702127659574468,0.10886524822695035,0.05346153655340034,0.030433130699088144,0.04517223910840932
70:30,BaseModel,UserPreferenceContent,1926,826,1.2466842084142964,1.4479395843080713,-0.08152486463745601,235,0.15319148936170213,0.01574468085106383,0.1078014184397163,0.05058642784010678,0.02766604750647304,0.04083586626139818
80:20,BaseModel,UserMean,2201,551,1.265445453920953,1.4710849792586052,-0.14743087964761603,192,0.10416666666666667,0.010937500000000001,0.0859375,0.040266081836240204,0.02375372023809524,0.03021246693121693
90:10,BaseModel,UserMean,2436,316,1.2641198771341176,1.4753411938389773,-0.15111516745299114,138,0.10869565217391304,0.010869565217391304,0.10507246376811594,0.048285012032076094,0.030403151598803777,0.03402634000460088
70:30,BaseModel,UserMean,1926,826,1.2909791261334846,1.5138690018549834,-0.18225788428903744,235,0.16595744680851063,0.01702127659574468,0.11170212765957446,0.05196053844509554,0.02821907013396375,0.04057244174265451
90:10,BaseModel,UserKNN,2436,316,1.383749272936879,1.6715037184239898,-0.47757159281402206,138,0.09420289855072464,0.009420289855072464,0.09057971014492754,0.03488071369835043,0.01784276512537382,0.01965435932827237
80:20,BaseModel,ItemKNN,2201,551,1.3590206157476947,1.6751671588451458,-0.4878779637539854,192,0.140625,0.0140625,0.10850694444444446,0.05047232554733109,0.028670290454144622,0.03785135582010582
80:20,BaseModel,UserKNN,2201,551,1.3898177230582707,1.6781020094925443,-0.493095980064691,192,0.140625,0.0140625,0.10069444444444443,0.04733475483977234,0.02697379298941799,0.035726686507936506
70:30,BaseModel,UserKNN,1926,826,1.398630652542645,1.691277800249393,-0.47558938650772076,235,0.16170212765957448,0.01702127659574468,0.11453900709219857,0.05634482834540869,0.032967747382640994,0.046779804120229654
90:10,BaseModel,ItemKNN,2436,316,1.4199306624027752,1.7176028411990765,-0.5601966406847219,138,0.06521739130434782,0.006521739130434783,0.06521739130434782,0.027906636914053134,0.017063492063492065,0.017063492063492065
70:30,BaseModel,ItemKNN,1926,826,1.402700603288666,1.7340611040287648,-0.5511879410180807,235,0.15319148936170213,0.01574468085106383,0.10390070921985814,0.053239013419630936,0.03080941123494315,0.047124282337048295
